apellido,frec_pri,frec_seg
HERNANDEZ,44095,44333
GARCIA,33010,33351
MARTINEZ,31080,31087
LOPEZ,30288,30188
GONZALEZ,25356,25362
RODRIGUEZ,22642,22490
PEREZ,22470,22353
SANCHEZ,21801,21782
RAMIREZ,18806,18632
FLORES,14160,13907
CRUZ,14010,14688
GOMEZ,12937,12648
MORALES,10475,10283
VAZQUEZ,10358,10562
JIMENEZ,10054,10072
REYES,10036,9888
DIAZ,9373,9306
TORRES,9154,9175
GUTIERREZ,8307,8195
RUIZ,8176,8207
AGUILAR,7757,7645
MENDOZA,7369,7523
CASTILLO,7117,6956
ORTIZ,6337,6208
MORENO,5910,6169
RIVERA,5873,5819
RAMOS,5836,5705
ROMERO,5661,5732
JUAREZ,5637,5507
ALVAREZ,5523,5627
MENDEZ,5494,5404
CHAVEZ,5437,5598
HERRERA,5255,5120
MEDINA,5047,4982
DOMINGUEZ,4978,5151
CASTRO,4918,5076
GUZMAN,4768,4801
VARGAS,4678,4630
VELAZQUEZ,4458,4438
SALAZAR,4405,4466
ROJAS,4092,3916
ORTEGA,4079,3998
CORTES,4019,3889
SANTIAGO,3951,3897
GUERRERO,3881,3970
CONTRERAS,3869,3807
BAUTISTA,3865,3709
ESTRADA,3690,3756
LUNA,3668,3520
LARA,3604,3525
RIOS,3396,3367
AVILA,3223,3242
ALVARADO,3175,3169
DE LA CRUZ,3108,2896
SILVA,3028,3005
DELGADO,3022,3071
CARRILLO,2960,2812
SOLIS,2954,2890
SOTO,2954,3149
LEON,2873,2791
FERNANDEZ,2850,2780
CERVANTES,2835,2872
MARQUEZ,2835,2796
ESPINOSA,2771,2728
MEJIA,2762,2693
VEGA,2759,2752
SANDOVAL,2700,2880
CAMPOS,2637,2725
NAVA,2628,2633
CABRERA,2582,2530
IBARRA,2550,2525
ESPINOZA,2523,2432
SANTOS,2500,2565
ACOSTA,2440,2491
CAMACHO,2413,2354
VALDEZ,2382,2454
FUENTES,2367,2319
MUÑOZ,2351,2277
MIRANDA,2350,2272
MALDONADO,2342,2461
ROBLES,2336,2217
