nombre,frec,edad_media
JOSE LUIS,7028,45.13
MIGUEL ANGEL,5137,41.78
FRANCISCO,4853,46.73
JUAN,4655,47.27
JESUS,4198,44.66
ALEJANDRO,4042,41.72
ANTONIO,3961,46.33
JORGE,3847,45.3
PEDRO,3830,46.09
CARLOS,3765,45.34
ROBERTO,3749,45.71
JUAN CARLOS,3601,38.18
JAVIER,3582,44.06
JOSE,3563,47.27
FERNANDO,3414,43.82
FRANCISCO JAVIER,3223,42.92
ARTURO,3130,45.66
MANUEL,3126,46.55
RAUL,3107,45.42
RICARDO,2991,42.81
RAFAEL,2982,44.66
MARTIN,2920,45.81
MARCO ANTONIO,2909,41.07
MIGUEL,2758,46.01
SERGIO,2704,44.09
ARMANDO,2650,45.21
EDUARDO,2643,42.77
JOSE ANTONIO,2603,43.28
GERARDO,2532,43.06
ENRIQUE,2528,45.83
VICTOR MANUEL,2521,43.79
ALFREDO,2500,44.88
JUAN MANUEL,2500,43.82
MARIO,2497,46.04
ALBERTO,2401,44.12
DANIEL,2319,41.04
OSCAR,2307,40.8
JAIME,2306,45.17
DAVID,2276,42.07
RUBEN,2253,45.24
SALVADOR,2224,45.83
JULIO CESAR,2204,38.31
HECTOR,2200,44.23
JOSE MANUEL,2005,42.45
GUILLERMO,1968,45.27
LUIS,1954,46.93
GABRIEL,1658,43
ANGEL,1643,45.68
GUSTAVO,1614,42.83
FELIPE,1580,46.37
RAMON,1577,47.28
CESAR,1559,39.91
GILBERTO,1534,44.4
VICTOR,1527,44.94
JUAN JOSE,1496,42.98
ALFONSO,1495,46.2
ERNESTO,1470,44.39
ANDRES,1464,44.95
ROGELIO,1457,44.71
RODOLFO,1442,45.15
PABLO,1434,46.17
EDGAR,1426,35.48
IGNACIO,1408,47.02
HUMBERTO,1359,45.3
AGUSTIN,1299,46.35
JOSE DE JESUS,1294,43.5
OMAR,1275,35
JUAN ANTONIO,1260,42.56
JOSE ALFREDO,1251,42.44
JORGE LUIS,1237,40.09
JOEL,1222,44
VICENTE,1215,45.92
LUIS ALBERTO,1206,35.26
CARLOS ALBERTO,1189,35.92
ISRAEL,1187,37.34
VICTOR HUGO,1179,37.8
JOSE GUADALUPE,1174,44.52
ISMAEL,1124,43.43
TOMAS,1109,46.75
HUGO,1050,40.2
SAUL,1049,42.31
ADRIAN,1040,40.92
JORGE ALBERTO,1013,38.9
MOISES,996,43.57
JOSE ANGEL,981,43.02
SANTIAGO,959,45.46
ABEL,958,44.44
RENE,953,43.23
SAMUEL,951,43.41
MARIO ALBERTO,927,40.04
NOE,885,41.93
RAMIRO,882,45.49
RIGOBERTO,878,40.99
GREGORIO,871,47.11
EFRAIN,861,43.59
NICOLAS,856,46.52
ESTEBAN,847,46.06
JOSE FRANCISCO,824,43.84
BENJAMIN,811,44.78
JOSE ALBERTO,811,39.61
ALVARO,809,44.19
RAYMUNDO,803,46.41
JOSE JUAN,789,41.82
RODRIGO,787,41.59
OCTAVIO,783,42.73
IVAN,768,31.81
LUIS ENRIQUE,761,39.31
GONZALO,741,46.08
ADOLFO,731,45.07
MARCOS,729,44.06
LORENZO,722,47.53
FELIX,721,46.33
JULIO,718,45.55
FIDEL,712,45.39
LEONARDO,710,44.12
FELIPE DE JESUS,707,43.35
ISIDRO,696,46.39
JOAQUIN,684,45.85
BENITO,678,46.22
GERMAN,669,43.01
HERIBERTO,668,43.44
JUAN FRANCISCO,665,41.05
ABRAHAM,649,40.81
EMILIO,611,46.63
JULIAN,606,45.79
LUIS ANTONIO,597,40.02
BERNARDO,587,45.14
MAURICIO,587,39.98
ADAN,586,42.21
AURELIO,574,46.79
MARCELINO,569,46.53
GENARO,566,46.38
MARGARITO,566,47.86
FEDERICO,565,46.76
LUIS FERNANDO,565,37.86
J JESUS,553,50.8
JUAN PABLO,550,36.72
LEONEL,541,42.25
ELIAS,540,45.49
DOMINGO,538,46.61
GUADALUPE,532,43.38
LUIS MANUEL,527,42.01
ROLANDO,527,43.22
EFREN,526,45.17
ULISES,523,35.73
HORACIO,514,43.45
MANUEL DE JESUS,490,44.07
EMMANUEL,487,29.2
JESUS MANUEL,471,40.47
ROMAN,468,44.66
JOSE MARTIN,458,43.95
ISAIAS,444,44.54
REYNALDO,435,44.4
ORLANDO,430,40.03
FILIBERTO,427,46.75
VALENTIN,427,43.6
ELEAZAR,423,45.28
ARNULFO,419,46.25
HILARIO,418,47.48
HECTOR MANUEL,416,42.95
LEOPOLDO,414,46.65
ELISEO,405,45.42
PORFIRIO,403,47.03
JESUS ANTONIO,394,39.42
FAUSTINO,393,46.7
