nombre,frec,edad_media
MARIA GUADALUPE,7105,42.81
LETICIA,5848,43.66
PATRICIA,5422,42.41
GUADALUPE,5348,43.38
MARIA DEL CARMEN,4881,44.04
VERONICA,4772,38.18
MARGARITA,4674,45.41
ELIZABETH,4661,38.18
SILVIA,4223,45.43
ROSA MARIA,4107,46.97
MARIA ELENA,4009,45.58
YOLANDA,3870,45.96
GABRIELA,3853,37.11
JUANA,3830,45.69
ADRIANA,3712,36.86
ARACELI,3702,40.65
MARTHA,3551,46.05
ANA MARIA,3162,45.13
MARIBEL,3159,38.29
ALICIA,3107,45.3
ALEJANDRA,3091,37.04
CLAUDIA,3025,37.44
LAURA,2960,40.97
IRMA,2953,45.98
MARIA ISABEL,2953,42.3
MARIA TERESA,2909,46.07
BEATRIZ,2830,41.88
MARIA DE LOURDES,2771,44.64
MARICELA,2677,42.2
MARIA DE LOS ANGELES,2665,43.11
MARIA DEL ROSARIO,2542,42.99
GLORIA,2527,46.41
JOSEFINA,2516,46.51
ROCIO,2441,38.4
MARIA,2432,46.2
TERESA,2430,45.36
ANGELICA,2392,39
GRACIELA,2380,45.64
MARIA LUISA,2336,45.27
MARIA DE JESUS,2236,43.23
LUZ MARIA,2193,44.36
LORENA,2178,38.28
SUSANA,2143,42.24
MARISOL,2044,33.86
VIRGINIA,1978,44.98
LUCIA,1972,42.44
SANDRA,1967,37.11
ROSA,1939,45.54
NORMA,1894,41.41
EDITH,1881,39.52
LILIANA,1858,33.65
CECILIA,1840,41.63
MARIA EUGENIA,1837,46.59
MONICA,1825,37.88
FRANCISCA,1823,46.6
ERIKA,1789,32.7
MA GUADALUPE,1777,46.73
MIRIAM,1737,36.16
CAROLINA,1728,38.78
MARIA MAGDALENA,1687,43.82
CRISTINA,1623,40.39
ROSALBA,1611,42.08
KARINA,1583,32.08
SONIA,1582,40.81
GUILLERMINA,1524,45.95
FABIOLA,1519,34.54
ISABEL,1492,43.94
RAQUEL,1482,42.84
ALMA DELIA,1437,39.48
BLANCA ESTELA,1425,43.19
MARIA DOLORES,1400,44.78
MARIA DE LA LUZ,1382,44.97
LILIA,1381,44.86
ESPERANZA,1349,46.22
MARIA ESTHER,1334,45.21
CATALINA,1326,45.71
MARIA CONCEPCION,1326,45.16
MARIA DEL SOCORRO,1315,46.11
SARA,1304,45.01
MA. GUADALUPE,1292,45.29
MINERVA,1292,43.33
OLIVIA,1278,42.5
MARTHA PATRICIA,1276,43.53
CONCEPCION,1274,46.12
NANCY,1268,34.33
ANTONIA,1236,45.28
ALMA ROSA,1215,42.86
OFELIA,1207,46.02
ESTELA,1202,45.26
HILDA,1198,44.53
REYNA,1198,43.23
GEORGINA,1194,42.55
JUDITH,1190,40.72
MARIA CRISTINA,1185,44.33
MAGDALENA,1184,43.85
ELVIRA,1183,45.06
GRISELDA,1181,38.57
DIANA,1166,34.45
IRENE,1161,44.09
ANA LILIA,1160,38.21
